id,start_utc,duration_minutes,home,away,matchup,event_name,short_name,venue,city,country,broadcasts,source_url
760504,2026-07-05T20:00Z,120,Round of 32 4 Winner,Round of 32 6 Winner,Round of 32 4 Winner vs Round of 32 6 Winner,Round of 32 6 Winner at Round of 32 4 Winner,RD32 @ RD32,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760504/round-of-32-6-winner-round-of-32-4-winner
760505,2026-07-06T00:00Z,120,Round of 32 7 Winner,Round of 32 8 Winner,Round of 32 7 Winner vs Round of 32 8 Winner,Round of 32 8 Winner at Round of 32 7 Winner,RD32 @ RD32,Estadio Banorte,Mexico City,Mexico,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760505/round-of-32-8-winner-round-of-32-7-winner
760506,2026-07-06T19:00Z,120,Round of 32 11 Winner,Round of 32 12 Winner,Round of 32 11 Winner vs Round of 32 12 Winner,Round of 32 12 Winner at Round of 32 11 Winner,RD32 @ RD32,AT&T Stadium,"Arlington, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760506/round-of-32-12-winner-round-of-32-11-winner
760507,2026-07-07T00:00Z,120,Round of 32 9 Winner,Round of 32 10 Winner,Round of 32 9 Winner vs Round of 32 10 Winner,Round of 32 10 Winner at Round of 32 9 Winner,RD32 @ RD32,Lumen Field,"Seattle, Washington",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760507/round-of-32-10-winner-round-of-32-9-winner
760509,2026-07-07T16:00Z,120,Round of 32 14 Winner,Round of 32 16 Winner,Round of 32 14 Winner vs Round of 32 16 Winner,Round of 32 16 Winner at Round of 32 14 Winner,RD32 @ RD32,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760509/round-of-32-16-winner-round-of-32-14-winner
760508,2026-07-07T20:00Z,120,Round of 32 13 Winner,Round of 32 15 Winner,Round of 32 13 Winner vs Round of 32 15 Winner,Round of 32 15 Winner at Round of 32 13 Winner,RD32 @ RD32,BC Place,Vancouver,Canada,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760508/round-of-32-15-winner-round-of-32-13-winner
760510,2026-07-09T20:00Z,120,Round of 16 1 Winner,Round of 16 2 Winner,Round of 16 1 Winner vs Round of 16 2 Winner,Round of 16 2 Winner at Round of 16 1 Winner,RD16 W2 @ RD16 W1,Gillette Stadium,"Foxborough, Massachusetts",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760510/round-of-16-2-winner-round-of-16-1-winner
760511,2026-07-10T19:00Z,120,Round of 16 5 Winner,Round of 16 6 Winner,Round of 16 5 Winner vs Round of 16 6 Winner,Round of 16 6 Winner at Round of 16 5 Winner,RD16 W6 @ RD16 W5,SoFi Stadium,"Inglewood, California",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760511/round-of-16-6-winner-round-of-16-5-winner
760512,2026-07-11T21:00Z,120,Round of 16 3 Winner,Round of 16 4 Winner,Round of 16 3 Winner vs Round of 16 4 Winner,Round of 16 4 Winner at Round of 16 3 Winner,RD16 W4 @ RD16 W3,Hard Rock Stadium,"Miami Gardens, Florida",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760512/round-of-16-4-winner-round-of-16-3-winner
760513,2026-07-12T01:00Z,120,Round of 16 7 Winner,Round of 16 8 Winner,Round of 16 7 Winner vs Round of 16 8 Winner,Round of 16 8 Winner at Round of 16 7 Winner,RD16 W8 @ RD16 W7,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760513/round-of-16-8-winner-round-of-16-7-winner
760514,2026-07-14T19:00Z,120,Quarterfinal 1 Winner,Quarterfinal 2 Winner,Quarterfinal 1 Winner vs Quarterfinal 2 Winner,Quarterfinal 2 Winner at Quarterfinal 1 Winner,QFW2 @ QFW1,AT&T Stadium,"Arlington, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760514/quarterfinal-2-winner-quarterfinal-1-winner
760515,2026-07-15T19:00Z,120,Quarterfinal 3 Winner,Quarterfinal 4 Winner,Quarterfinal 3 Winner vs Quarterfinal 4 Winner,Quarterfinal 4 Winner at Quarterfinal 3 Winner,QW4 @ QFW3,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760515/quarterfinal-4-winner-quarterfinal-3-winner
760516,2026-07-18T21:00Z,120,Semifinal 1 Loser,Semifinal 2 Loser,Semifinal 1 Loser vs Semifinal 2 Loser,Semifinal 2 Loser at Semifinal 1 Loser,SF L2 @ SF L1,Hard Rock Stadium,"Miami Gardens, Florida",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760516/semifinal-2-loser-semifinal-1-loser
760517,2026-07-19T19:00Z,120,Semifinal 1 Winner,Semifinal 2 Winner,Semifinal 1 Winner vs Semifinal 2 Winner,Semifinal 2 Winner at Semifinal 1 Winner,SFW2 @ SFW1,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760517/semifinal-2-winner-semifinal-1-winner
